TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	SLSDThinEqWellLR30Bound10Generatorx	SLSDThinEqWellLR30Bound10Generatory
0	0	0	0	0	0
0.037934999999999997	1	0.028373000000000002	1	0.016517999999999998	1
0.059125000000000004	2	0.037451	2	0.016638999999999998	2
0.09012300000000001	3	0.044961999999999995	3	0.020200000000000003	3
0.09229300000000001	4	0.056129	4	0.020739	4
0.096349999999999	5	0.058295	5	0.024111999999999002	5
0.10749099999999999	6	0.060086	6	0.025838999999999997	6
0.175012	7	0.066528999999999	7	0.029457999999999002	7
0.207284	8	0.079125	8	0.030580999999999997	8
0.239083	9	0.086847	9	0.039164000000000004	9
0.240814	10	0.09633699999999999	10	0.039993	10
0.32138	11	0.09883600000000001	11	0.042305999999999004	11
0.34891500000000003	12	0.10648200000000001	12	0.044614999999999995	12
0.369936	13	0.21464799999999998	13	0.047867	13
0.874085	14	0.21468399999999999	14	0.069695	14
0.933102	15	0.228295	15	0.123544	15
1.304233	16	0.356931	16	0.434029999999999	16
4.741944	17	1.410685999999999	17	0.45163200000000003	17
10.978905000000001	18	4.8173639999999995	18	0.6169840000000001	18
12.582072	19	9.48942	19	1.024202	19
13.187092000000002	20	9.569175	20	1.531461	20
60	20	60	20	60	20
