TypeBasedGenerator	B_LDEqLR30Bound10Generator	B_LDGenerator
0.00021799999999999999	0.000128	0.00035000000000000005
0.000377	0.000133	0.000357
0.000406999999999	0.00015900000000000002	0.00039000000000000005
0.000417	0.00019600000000000002	0.00040199999999999996
0.00045000000000000004	0.00028000000000000003	0.000437
0.00045000000000000004	0.00031	0.000597
0.0005300000000000001	0.000316	0.0006900000000000001
0.0005600000000000001	0.000337	0.0007199999999990001
0.00058	0.000347	0.000726
0.0006039999999999999	0.00035000000000000005	0.001142
0.00062	0.00037600000000000003	0.0011589999999999999
0.00063	0.000421	0.0011610000000000001
0.00063	0.00042699999999999997	0.0022210000000000003
0.0006410000000000001	0.00046800000000000005	0.002476
0.0007700000000000001	0.0004900000000000001	0.0050089999999999996
0.0007800000000000001	0.0005560000000000001	0.006953000000000001
0.0008010000000000001	0.00058	0.00808
0.0008449999999990001	0.0005909999999990001	0.008177
0.00092	0.000602	0.009424
0.0009800000000000002	0.0006670000000000001	0.011028999999999999
0.001039	0.0007549999999999999	0.012362999999999002
0.00108	0.001017	0.012478
0.0010819999999999998	0.001036	0.014770000000000002
0.0012100000000000001	0.0010739999999999999	0.015567000000000001
0.0013449999999999998	0.001276	0.016314000000000002
0.0015	0.0013679999999999999	0.016631
0.0015960000000000002	0.001415	0.017318
0.001727	0.0019649999999999997	0.020176
0.0019549999999999997	0.0028009999999999997	0.022468000000000002
0.00204	0.002897	0.024950000000000003
0.002111	0.003578	0.025519
0.002666999999999	0.0035870000000000003	0.028384
0.002902	0.00369	0.031997
0.003707	0.003885	0.034714999999999996
0.003823	0.004369	0.035708
0.007287	0.0049900000000000005	0.036080999999999995
0.0074529999999999996	0.005788000000000001	0.039073000000000004
0.010723000000000002	0.0060160000000000005	0.069559
0.014717000000000001	0.006242999999999999	0.073864
0.016419	0.0062580000000000005	0.074479
0.018376	0.006396	0.09699500000000001
0.020264	0.006972000000000001	0.12634299999999998
0.021138999999999002	0.008595	0.18122100000000002
0.040498	0.008766999999999999	0.20143000000000003
0.058186999999999	0.021568	0.30050499999999997
0.062016999999999996	0.035598	0.401371
0.07491500000000001	0.050272	0.888396
0.077872	0.065773	18.508935
0.296448	0.14494900000000002	
