TypeBasedGeneratorx	TypeBasedGeneratory	BSmallInitGeneratorx	BSmallInitGeneratory	BSmallTrainedGeneratorx	BSmallTrainedGeneratory
0	0	0	0	0	0
0.000305	1	0.00027	1	0.000156	1
0.000317	2	0.00039700000000000005	2	0.00021899999999999998	2
0.000406999999999	3	0.00040600000000000006	3	0.00024099999999999998	3
0.00045900000000000004	4	0.00041299999999999996	4	0.000242	4
0.00047000000000000004	5	0.000486	5	0.00024599999999999996	5
0.0005560000000000001	6	0.0005110000000000001	6	0.00027299999999999997	6
0.0006000000000000001	7	0.000532	7	0.000294	7
0.00064	8	0.0005430000000000001	8	0.000321	8
0.00064	9	0.0006100000000000001	9	0.00032900000000000003	9
0.0006500000000000001	10	0.00063	10	0.00032900000000000003	10
0.0006659999999999999	11	0.0008200000000000001	11	0.00034399999999900005	11
0.0006770000000000001	12	0.000829	12	0.00034399999999900005	12
0.0006900000000000001	13	0.001147	13	0.000348999999999	13
0.00071	14	0.0014349999999999999	14	0.00038	14
0.0007199999999990001	15	0.0014370000000000001	15	0.000388	15
0.0007199999999990001	16	0.001442	16	0.000424	16
0.00079	17	0.0016769999999999999	17	0.00047000000000000004	17
0.0008	18	0.002291999999999	18	0.000473	18
0.0008100000000000001	19	0.002541	19	0.000508	19
0.0008810000000000001	20	0.002897	20	0.0005369999999999999	20
0.0009239999999999999	21	0.0030900000000000003	21	0.000575	21
0.001032999999999	22	0.0032419999999999997	22	0.000612	22
0.0010780000000000002	23	0.003882	23	0.0006490000000000001	23
0.001273	24	0.003909	24	0.000683	24
0.0013189999999999999	25	0.004012	25	0.0007400000000000001	25
0.001802	26	0.004366	26	0.000754	26
0.001841	27	0.004709	27	0.00076	27
0.002496	28	0.005055	28	0.0008539999999999999	28
0.002516	29	0.00585	29	0.000953	29
0.003018	30	0.006014999999999	30	0.000976	30
0.0036760000000000004	31	0.007252	31	0.001018	31
0.0037579999999999996	32	0.007429000000000001	32	0.0010739999999999999	32
0.004220000000000001	33	0.007495	33	0.001088	33
0.004919	34	0.007692999999999999	34	0.0010960000000000002	34
0.006664	35	0.008182	35	0.0010960000000000002	35
0.007019999999999	36	0.008242000000000001	36	0.001121	36
0.007371000000000001	37	0.009557999999999999	37	0.0011589999999999999	37
0.009401	38	0.009992000000000001	38	0.001201	38
0.010402	39	0.010915	39	0.0015119999999999999	39
0.024791	40	0.012223000000000001	40	0.0015719999999999998	40
0.028215999999999998	41	0.012894000000000001	41	0.0016600000000000002	41
0.035356000000000005	42	0.014681999999999999	42	0.0017469999999999999	42
0.036097000000000004	43	0.01682	43	0.001944	43
0.039345	44	0.022897999999999998	44	0.002763	44
0.047245999999999996	45	0.025398	45	0.002949	45
0.054913	46	0.041440000000000005	46	0.003009999999999	46
0.055789000000000005	47	0.072713	47	0.0038919999999999996	47
0.11631000000000001	48	0.091845	48	0.008239	48
0.5452779999999999	49	0.21195000000000003	49	0.008306	49
60	49	60	49	60	49
