TypeBasedGenerator	LEqGenerator	LExceptGenerator	TBEqGenerator	TBExceptGenerator	LGenerator
0.00045000000000000004	0.00015199999999999998	0.00022	0.00014000000000000001	0.00023099999999999998	0.000998
0.00054	0.000153	0.0004	0.000148	0.000252	0.001143999999999
0.0006100000000000001	0.000154	0.000416	0.000149	0.000289	0.0011849999999999999
0.0006600000000000001	0.000155	0.000419	0.000155	0.0005200000000000001	0.0015970000000000001
0.00079	0.000163	0.0005600000000000001	0.000157	0.0005700000000000001	0.001646
0.0008300000000000001	0.000236	0.0005809999999990001	0.000157	0.00079	0.001892
0.0008900000000000001	0.00024599999999999996	0.0006180000000000001	0.000247	0.0008010000000000001	0.002111
0.0009130000000000001	0.000249	0.00075	0.000247	0.0008200000000000001	0.0021920000000000004
0.0009600000000000001	0.00025	0.00092	0.000247	0.00084	0.003072
0.001093	0.00025499999999999996	0.0009500000000000001	0.000257	0.0008600000000000001	0.0034070000000000003
0.001181999999999	0.00026000000000000003	0.0009500000000000001	0.000257	0.0008700000000000001	0.004339
0.00142	0.00027800000000000004	0.0009600000000000001	0.00026199999999999997	0.00088	0.0055720000000000006
0.0016690000000000001	0.000283	0.0009600000000000001	0.000266	0.0009100000000000001	0.005765
0.0017720000000000001	0.000348999999999	0.0009600000000000001	0.00027100000000000003	0.00093	0.006417
0.001821	0.00045400000000000003	0.0009699999999990001	0.000361	0.0009699999999990001	0.012827
0.0018269999999999998	0.0005510000000000001	0.0013100000000000002	0.000432	0.0009800000000000002	0.013519999999999002
0.0018300000000000002	0.00063	0.0017909999999999998	0.00045200000000000004	0.0013629999999999998	0.013694999999999999
0.0018470000000000001	0.0006600000000000001	0.0022949999999999997	0.00047799999999900006	0.0019979999999999998	0.014039999999999001
0.00217	0.0006889999999990001	0.003601	0.000479	0.0027860000000000003	0.016592
0.002294	0.000841	0.003868	0.0006389999999999999	0.0032210000000000003	0.018109
0.0028870000000000002	0.0014390000000000002	0.004621	0.001763	0.00334	0.019108999999999998
0.003117	0.001542999999999	0.0049770000000000005	0.0023309999999999997	0.004033	0.020498000000000002
0.0034939999999999997	0.003323999999999	0.0049889999999999995	0.002438	0.004202	0.021873999999999002
0.0035889999999999997	0.0038009999999999997	0.005987999999999999	0.003049999999999	0.006013999999999999	0.021994
0.0043100000000000005	0.0038130000000000004	0.006127	0.0032600000000000003	0.006046999999999	0.024820000000000002
0.006046	0.004005	0.007503999999999	0.003359	0.006823999999999999	0.026208
0.00617	0.004451	0.008891	0.003505	0.007149	0.026243
0.007358	0.004452	0.008987	0.004005	0.007788000000000001	0.026549
0.008860000000000002	0.004899	0.010385	0.004542	0.008497	0.028515000000000002
0.009615	0.005327	0.010901	0.004575999999999	0.00875	0.030961
0.011521000000000002	0.005469000000000001	0.010959	0.005135	0.008981	0.033208999999999995
0.013564999999999001	0.0055060000000000005	0.011918999999999999	0.005706999999999999	0.009526	0.034427
0.014915	0.005523999999999999	0.011975	0.006216999999999	0.009675999999999999	0.041998
0.015148	0.006046999999999	0.012036999999999999	0.0069489999999999994	0.010832000000000001	0.054358
0.017223	0.007378999999999999	0.014034000000000001	0.0071790000000000005	0.013614999999999999	0.057179
0.021896000000000002	0.007450999999999999	0.014893000000000002	0.0075970000000000005	0.016457	0.070788
0.024083999999999998	0.0076890000000000005	0.017370999999999002	0.008772	0.020412	0.086606
0.030492000000000002	0.008451	0.021365	0.009590000000000001	0.022933000000000002	0.098588
0.035275	0.010733999999999999	0.021754000000000003	0.009927	0.023422000000000002	0.10004299999999999
0.035299	0.011117	0.022088	0.010014	0.025979	0.22233799999999998
0.035577	0.016731000000000003	0.033892000000000005	0.013694000000000001	0.026560000000000004	0.256442
0.035773000000000006	0.018720999999999998	0.034844	0.014997	0.035098	0.31124399999999997
0.038173000000000006	0.047431999999999995	0.036851999999999004	0.019125	0.038396	0.6154850000000001
0.044709000000000006	0.054868	0.038696999999999995	0.251597	0.045106	0.7608659999999999
0.081376999999999	0.161261	0.042325999999999996	5.26405	0.0505	0.917709
0.205951	0.18023799999999998	0.377380999999999	6.365012	0.213598999999999	2.3090569999999992
0.21174500000000002	0.320413	0.5664129999999999	27.366909	0.8622259999999999	3.271538
0.24401299999999998	0.690191	5.793142		1.9896859999999998	21.471173999999998
1.086344	2.172908	38.758772		30.628759	
