BespokeGenerator	LBespokeGenerator	LBespokeApproxConstructorEntropyGenerator
0.002149	0.0032259999999999997	0.0008900000000000001
0.004647999999999	0.004162	0.0009939999999999999
0.007163999999999999	0.005418	0.0021920000000000004
0.008303000000000001	0.005444	0.0023309999999999997
0.008398999999999001	0.005738999999999999	0.002799
0.009021999999999999	0.0062580000000000005	0.0029660000000000003
0.009840000000000002	0.008468999999999	0.003355
0.011137000000000001	0.008754	0.004875
0.011800999999999999	0.009108000000000002	0.005876999999999999
0.012749000000000002	0.010199999999999002	0.005948999999999999
0.0154	0.011914	0.006644000000000001
0.018548	0.012343	0.011255000000000001
0.045752999999999995	0.038627999999999996	0.023252
0.07214899999999999	0.045287999999999	0.026487999999999998
0.076012	0.05519400000000001	0.038848999999999
0.092109	0.055276000000000006	0.047730999999999996
0.23699099999999998	0.085688	0.056096
0.341313	0.14003800000000002	0.06522700000000001
0.36217200000000005	0.287501	0.09641699999999999
0.389967	0.30851100000000004	0.22828
