BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	S_BespokeACELR03Bound10Generatorx	S_BespokeACELR03Bound10Generatory
0	0	0	0	0	0
0.00642	1	0.0032419999999999997	1	0.0019100000000000002	1
0.0067469999999999995	2	0.003601999999999	2	0.002539	2
0.006876999999999999	3	0.004370000000000001	3	0.002712	3
0.008128	4	0.005485999999999	4	0.0028629999999999997	4
0.008442	5	0.006031	5	0.0029230000000000003	5
0.011887	6	0.006149	6	0.0030870000000000003	6
0.012438999999999999	7	0.006456000000000001	7	0.003565999999999	7
0.012929000000000001	8	0.007692	8	0.004683	8
0.013540000000000002	9	0.009099000000000001	9	0.004704	9
0.016114999999999	10	0.012862	10	0.004934999999999	10
0.019386	11	0.014610000000000001	11	0.005305	11
0.025595	12	0.015181	12	0.01084	12
0.031186000000000002	13	0.035962999999999995	13	0.020100000000000003	13
0.05946200000000001	14	0.042756999999999004	14	0.026628000000000002	14
0.07396799999999999	15	0.054154999999999995	15	0.028742999999999002	15
0.08574699999999999	16	0.054785	16	0.046578	16
0.117733999999999	17	0.11716000000000001	17	0.046994	17
0.32565000000000005	18	0.11887500000000001	18	0.047825000000000006	18
0.37114199999999997	19	0.169483	19	0.053714	19
0.382776	20	0.34709399999999996	20	0.053878999999999004	20
60	20	60	20	60	20
