TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	SLSDThinEqWellLR30Bound10Generatorx	SLSDThinEqWellLR30Bound10Generatory
0	0	0	0	0	0
0.057197000000000005	1	0.035342	1	0.012588	1
0.065997	2	0.044751	2	0.013349	2
0.074825	3	0.046071999999999995	3	0.017547	3
0.080471	4	0.052298000000000004	4	0.019063	4
0.08105899999999999	5	0.055869999999999004	5	0.023922000000000002	5
0.087962	6	0.058754	6	0.030164000000000003	6
0.11412599999999999	7	0.058955999999999995	7	0.035538	7
0.115603	8	0.06856100000000001	8	0.036416	8
0.131814	9	0.075715999999999	9	0.041409	9
0.14468599999999998	10	0.077721	10	0.041460000000000004	10
0.177844	11	0.08218500000000001	11	0.044981	11
0.19677899999999998	12	0.118201	12	0.0453	12
0.355556	13	0.171292	13	0.126219	13
0.519659	14	0.20307599999999998	14	0.17555500000000002	14
0.734425	15	0.33081499999999997	15	0.21370599999999998	15
0.761166	16	0.445158	16	0.25303200000000003	16
5.712015	17	3.280647	17	0.666001	17
10.418951	18	5.062778000000001	18	1.098833	18
11.857873	19	6.499173	19	1.187008	19
18.648764	20	6.853236	20	2.317853	20
60	20	60	20	60	20
