BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	SimplerACEGeneratorx	SimplerACEGeneratory
0	0	0	0	0	0
0.001303	1	0.0042239999999999995	1	0.002976	1
0.0050929999999999994	2	0.004899	2	0.003143	2
0.005667	3	0.00536	3	0.003549999999999	3
0.0075379999999999996	4	0.005640999999999999	4	0.0036850000000000003	4
0.008003999999999	5	0.005863999999999999	5	0.004038	5
0.009528	6	0.005882	6	0.0041979999999999995	6
0.010308999999999001	7	0.006350000000000001	7	0.004425999999999999	7
0.01047	8	0.006628999999999	8	0.0046489999999999995	8
0.013253000000000001	9	0.007320999999999999	9	0.005253	9
0.015588	10	0.007963	10	0.005640999999999999	10
0.019613	11	0.008017999999999999	11	0.0057740000000000005	11
0.019728000000000002	12	0.01267	12	0.006072	12
0.048666	13	0.034039	13	0.013120999999999999	13
0.05197	14	0.035972000000000004	14	0.027745000000000002	14
0.075015	15	0.041228999999999995	15	0.03721	15
0.08394	16	0.046494	16	0.048437999999999995	16
0.271714	17	0.10552199999999999	17	0.09795899999999999	17
0.314666	18	0.18936799999999998	18	0.113592	18
0.38764499999999996	19	0.25303200000000003	19	0.12951200000000002	19
0.40787399999999996	20	0.27747099999999997	20	0.137652	20
60	20	60	20	60	20
