TypeBasedGenerator	ManualTypeBasedGenerator	TbStructureMightGenerator	TbStructureWellGenerator	TbEqMightGenerator
0.12907400000000002	0.228659	0.15981099999999998	4.231019000000001	0.025692
0.21380500000000002	0.347841	0.24007099999999998	4.502886999999999	0.032233
0.25122099999999997	0.37162799999999996	0.25102399999999997	6.596514	0.033699
0.27651000000000003	0.6521629999999999	0.25194700000000003	7.076133	0.035296
0.39274499999999996	0.7681180000000001	0.299311	7.703626000000001	0.03549
0.45868299999999995	0.7740509999999999	0.313214999999999	9.718633	0.038035
0.459146	0.8368629999999999	0.40277199999999996	11.668843	0.051676
0.48448700000000006	0.927987	0.47593900000000006	17.461174	0.061966
0.48476100000000005	0.93776	0.5250170000000001	18.642773000000002	0.06264299999999999
0.48874500000000004	0.9475100000000001	0.76073	20.529003	0.06612
0.545207	1.029493	1.300457	30.250418000000003	15.717983
0.564655999999999	1.482543	1.6498659999999998	37.448492	16.359443
2.126542	1.861721	8.634857	45.186834000000005	
2.168751	2.273602	9.54959		
3.690156	2.281541	20.081701000000002		
4.73524	4.633892	25.246402		
38.819827		32.158273		
		32.696341000000004		
		37.123156		
		56.888701000000005		
