TypeBasedGeneratorx	TypeBasedGeneratory	RLSDThinSmallGeneratorx	RLSDThinSmallGeneratory	RLSDThinEqSmallGeneratorx	RLSDThinEqSmallGeneratory
0	0	0	0	0	0
0.000108	1	0.000366	1	0.000135	1
0.000283	2	0.000495	2	0.000146	2
0.000319	3	0.0005369999999999999	3	0.00019700000000000002	3
0.00032500000000000004	4	0.0008179999999990001	4	0.000224	4
0.00033400000000000004	5	0.000834	5	0.00022600000000000002	5
0.00051	6	0.0008700000000000001	6	0.00035000000000000005	6
0.0005110000000000001	7	0.0009500000000000001	7	0.000513	7
0.00058	8	0.001387	8	0.0007109999999990001	8
0.000616	9	0.00268	9	0.000725	9
0.0006619999999999999	10	0.004209	10	0.000736	10
0.0011220000000000002	11	0.004987999999999999	11	0.0009050000000000001	11
0.0024749999999999998	12	0.005410000000000001	12	0.001156	12
0.0032210000000000003	13	0.005449	13	0.0011769999999999999	13
0.0038759999999999997	14	0.00808	14	0.0011990000000000002	14
0.006182000000000001	15	0.013701999999999999	15	0.001575	15
0.006659	16	0.015281000000000001	16	0.001611	16
0.013611000000000002	17	0.017596	17	0.0026739999999999997	17
0.022976999999999997	18	0.022403	18	0.002989	18
0.024943999999999997	19	0.023836	19	0.0031650000000000003	19
0.038314	20	0.026334999999999997	20	0.004916999999999	20
0.061984000000000004	21	0.027521999999999002	21	0.004939	21
0.151979	22	0.056173	22	0.005208	22
0.178946	23	0.09114000000000001	23	0.00915	23
0.262202	24	0.164746	24	0.015557000000000001	24
0.401904	25	0.238003	25	0.019052	25
2.398708999999999	26	0.367108999999999	26	0.028714999999999997	26
2.454352	27	0.7740849999999999	27	0.060784	27
3.4229890000000003	28	0.8404360000000001	28	0.065373	28
60	28	60	28	60	28
